,GEM_NO,NAME,PLZ,KT_KZ,REISEZEIT,STAND,geometry,Bevoelkerung,Total Arbeitspendler,Wegpendler,Zupendler,Binnenpendler
0,2,Affoltern am Albis,,ZH,22,2011,"POLYGON Z ((673825.3243831862 238519.8380383911 0, 673857.3241514582 238549.8371021982 0, 673885.3239531755 238561.836506897 0, 673942.3235571075 238579.83545494 0, 673997.3231791503 238569.8349325126 0, 674007.3231102185 238569.8348053491 0, 674037.3229027443 238596.8339087402 0, 674125.322301608 238654.8315799382 0, 674140.3222004571 238669.8310638361 0, 674152.3221217883 238704.8301696634 0, 674165.3220357234 238724.8295622235 0, 674150.3221388375 238746.8293288262 0, 674240.3215388866 238781.827198883 0, 674217.3217067569 238874.8255410057 0, 674260.3214366568 238949.8231413888 0, 674337.3209491015 239011.8203105928 0, 674357.3208272877 239039.8192716134 0, 674392.3205916777 239009.8193274473 0, 674427.3203774273 239046.8177592773 0, 674437.3203200379 239066.8170704254 0, 674505.3198996887 239109.8146451079 0, 674567.3194941229 239136.8136746132 0, 674602.3192665143 239171.8127794141 0, 674667.3188410343 239214.8115883953 0, 674727.3184451503 239231.8109964007 0, 674822.3178254867 239299.8090283449 0, 674865.3175430485 239316.8084503066 0, 674902.3173015643 239339.8077361807 0, 674972.3168198654 239241.8099554212 0, 675007.316572035 239156.8120226263 0, 674952.3169305902 239116.8131818205 0, 674937.3170200962 239094.8137805397 0, 674972.3167771576 239076.8141581457 0, 675005.3165405937 239046.8148479287 0, 675050.316226185 239021.8153801604 0, 675087.3159491918 238969.8166229827 0, 675095.315875494 238934.8175001836 0, 675112.3157644664 238939.8173307396 0, 675132.3156052992 238896.8183832945 0, 675180.3152410415 238834.819922057 0, 675200.3150914275 238814.8204276285 0, 675325.3142645729 238876.8188515405 0, 675350.3141032938 238896.8183529401 0, 675395.3137869658 238886.8186030121 0, 675452.3133785025 238859.8192677177 0, 675472.3132460036 238869.8190209984 0, 675495.3130801297 238856.8193377573 0, 675635.3121157408 238859.8192526812 0, 675602.3123031541 238784.8210628981 0, 675632.3120990727 238789.8209328702 0, 675680.3117640216 238781.8211082374 0, 675675.3117720068 238731.8223031615 0, 675692.311598466 238624.8248425976 0, 675702.3114822715 238534.8269750452 0, 675852.3102662553 238589.8259504216 0, 675911.3095209538 238409.8302376548 0, 675965.3088623853 238322.83229017 0, 676046.3078510454 238215.8346927831 0, 676092.3074302651 238282.8333959128 0, 676115.3071532794 238265.8337780757 0, 676117.3070844735 238233.8344180526 0, 676214.3060182253 238240.8344170386 0, 676230.3058550184 238248.834290321 0, 676269.3052216256 238165.8357290285 0, 676377.3039823509 238158.8359349582 0, 676388.3038645978 238160.835916061 0, 676390.3038325673 238157.8359621137 0, 676455.3032144496 238218.8352395386 0, 676489.302609764 238169.8361490568 0, 676521.3020259463 238126.836939314 0, 676561.3012085836 238054.8382019993 0, 676575.3010216164 238056.8382416522 0, 676599.3007558124 238073.8381076866 0, 676613.3005744468 238076.8381320908 0, 676639.3002905672 238094.8379918014 0, 676633.3005183731 238129.8374404908 0, 676667.3001391457 238148.8373221597 0, 676663.3002360715 238158.8371533054 0, 676668.3001818841 238161.8371326653 0, 676685.2998040461 238127.8377238273 0, 676745.299176398 238167.8374150724 0, 676775.2988805851 238189.8372285978 0, 676805.2984914574 238191.8373427163 0, 676827.2982903076 238209.8371762538 0, 676840.2981678423 238226.8369599153 0, 676875.2978727567 238284.8361755832 0, 676897.2976335376 238301.8360026354 0, 676970.2967525816 238326.8359453293 0, 677077.2955666862 238354.8359373704 0, 677112.2953015864 238366.8358261058 0, 677142.2948200464 238309.8368690245 0, 677162.2945241794 238281.8374047026 0, 677230.2936568422 238231.8384857601 0, 677270.2937402327 238329.8368813747 0, 677287.2939624434 238404.8355893076 0, 677292.2941228042 238444.8348851621 0, 677315.2943827942 238529.8333993135 0, 677335.2941790883 238519.8336122112 0, 677352.2940617923 238521.8336032965 0, 677387.294031607 238561.8329205399 0, 677405.2941293503 238599.8322386412 0, 677422.2941342753 238619.8318841549 0, 677445.2937698307 238586.8325298036 0, 677465.2935318263 238571.8328389648 0, 677497.2933024163 238571.8328816266 0, 677585.2930792922 238626.8319170447 0, 677620.2930589895 238654.8313954766 0, 677665.2924576311 238616.832200733 0, 677725.2910706319 238486.834922198 0, 677747.2907460943 238459.8354948523 0, 677785.2904945067 238451.8357093113 0, 677817.2904852366 238471.8353647312 0, 677827.2910290214 238551.8338202218 0, 677852.2911117624 238581.8332870781 0, 677885.2910199364 238594.8331053298 0, 677957.2905791481 238589.8333521273 0, 677975.2903573983 238571.8337278922 0, 678000.2897781314 238504.8350290871 0, 678142.2894059578 238566.8341503862 0, 678152.289234346 238546.834528959 0, 678220.2889233907 238556.8344789395 0, 678295.2886194873 238576.8342756906 0, 678380.2883461864 238571.8347092685 0, 678457.2881108313 238561.835220473 0, 678520.2878981351 238544.8357951472 0, 678527.2874324081 238411.8381569991 0, 678562.2870694713 238111.8426377645 0, 678565.2871554689 238071.8430429599 0, 678570.2872340275 238039.843383566 0, 678440.2868751873 237906.8437933453 0, 678400.2866920625 237929.8433226081 0, 678375.2865803805 237929.843156701 0, 678250.2863865327 237894.84321836 0, 678250.286269914 237831.8437761224 0, 678227.2862218214 237786.8442622215 0, 678197.2861830111 237746.8447499608 0, 678190.2861490328 237726.8449675106 0, 678187.2860059009 237659.845614689 0, 678180.2859676117 237639.8458399813 0, 678145.2858874243 237594.8464625731 0, 678117.2858322547 237566.8469003192 0, 678217.2856599687 237504.8468958621 0, 678252.2856273315 237489.846807563 0, 678395.2864279054 237484.8471181784 0, 678462.2871488074 237486.8477289737 0, 678505.2877724578 237306.8497939072 0, 678530.288081044 237326.8498688675 0, 678535.288221575 237271.8501112023 0, 678460.2872599617 237259.8493613873 0, 678400.2864377231 237276.8487432862 0, 678292.2853278642 237314.8480498008 0, 678267.2855245947 237231.8485006406 0, 678290.2859678781 237096.8485793716 0, 678280.2860154521 237084.8486861119 0, 678207.2861889349 237056.8493464648 0, 678190.2862279331 237051.849497217 0, 678185.2863866581 237014.8496124129 0, 678212.2866338509 236941.8495343938 0, 678227.2868504591 236876.8495397904 0, 678217.2870211361 236839.8496963912 0, 678212.2877427185 236661.8500927557 0, 678217.2878589056 236626.8501211398 0, 678225.2879066786 236604.85009874 0, 678200.2884618377 236499.8505151984 0, 678205.2887194362 236429.8506133716 0, 678310.2880470579 236429.849743593 0, 678332.2880575793 236379.8496610326 0, 678345.2889970547 236334.8501926046 0, 678375.2907753362 236259.8511793543 0, 678395.2926523553 236176.852234977 0, 678430.2945145938 236101.8532195063 0, 678450.2961971563 236029.8541308893 0, 678490.2982557853 235949.8551710048 0, 678555.300662033 235866.8562798367 0, 678525.3010343146 235834.8566124709 0, 678545.3017726174 235809.8569441819 0, 678512.3021667267 235774.8573113071 0, 678482.301596916 235786.8571200572 0, 678487.3021744144 235761.857429001 0, 678477.3026331393 235734.8577392423 0, 678462.302742549 235721.8578738952 0, 678420.3027416125 235699.8580791417 0, 678432.3035568044 235666.8584967537 0, 678432.3055245792 235571.8596493611 0, 678440.3066541136 235521.8602655149 0, 678450.3074994424 235486.8607010843 0, 678395.3073963197 235459.8609687806 0, 678442.3087350271 235354.8614870664 0, 678382.3083275472 235314.8614421435 0, 678332.3080145802 235291.8612928361 0, 678270.3078677242 235256.8610217358 0, 678240.3077620892 235244.8608773012 0, 678170.3070610893 235281.8604226798 0, 678122.3067927934 235276.8601668256 0, 678072.3063162053 235299.8598582655 0, 678040.306169959 235291.8596950733 0, 678022.3060213273 235296.8595901791 0, 678000.3056379041 235331.8594260827 0, 677980.3054068421 235346.8593007729 0, 677932.305047882 235354.8590370264 0, 677937.3054983716 235294.8591296427 0, 677905.3056313101 235246.859004172 0, 677877.3055032482 235239.8588548916 0, 677797.305088444 235226.8584179115 0, 677777.3047667426 235254.8582865697 0, 677610.3049097797 235229.8581919617 0, 677592.3046736853 235269.858196419 0, 677565.3044254071 235314.8582121252 0, 677522.3041455084 235369.8582455758 0, 677437.3045029689 235354.8584137868 0, 677407.3050301968 235296.8585262852 0, 677402.3052351858 235271.8585608209 0, 677377.3047912938 235339.8585387545 0, 677387.3046706277 235351.8585081089 0, 677380.3044390155 235384.8584870512 0, 677267.3041211551 235461.8585797349 0, 677222.3041775705 235469.8586454911 0, 677185.3039560063 235506.8586486274 0, 677125.3038411001 235541.8587091886 0, 677082.303623355 235584.8587349587 0, 677030.303303731 235654.8587748007 0, 676982.3035532191 235654.8589056618 0, 676950.3036006137 235669.8589697775 0, 676832.3036215891 235749.8591609553 0, 676792.3037192719 235766.8592395838 0, 676742.3040728882 235756.859388838 0, 676677.3044511471 235754.8595649224 0, 676657.3045289137 235759.8596094284 0, 676600.3050023966 235736.8598011755 0, 676600.3052016821 235706.8598540438 0, 676480.3062566554 235641.860295848 0, 676457.3058876905 235721.8602102108 0, 676350.3067118521 235699.8605726048 0, 676365.3071820569 235599.8607007967 0, 676370.3078630121 235474.8609037441 0, 676397.3090788828 235269.8614505043 0, 676395.3092260867 235249.861525779 0, 676260.3100565919 235216.8621081359 0, 676225.3101183735 235231.8621670734 0, 676210.3099792716 235264.8620790161 0, 676207.3098052205 235294.8619621343 0, 676215.3095973395 235321.8618240519 0, 676265.3088708831 235396.8613750298 0, 676272.3086729548 235421.8612576274 0, 676262.3085005959 235464.8612114941 0, 676247.308377903 235504.8611894552 0, 676170.3086805381 235531.8613620657 0, 676150.3087256071 235546.8613965482 0, 676120.3088323154 235561.8614602446 0, 676085.3090163463 235566.8615528559 0, 676047.3090960564 235601.8616162786 0, 675992.3091399434 235676.8616856583 0, 676025.3087536504 235719.8615328037 0, 675965.3089951136 235761.8616679342 0, 676017.3083376078 235836.8614122246 0, 675890.308948226 235926.8617277454 0, 675850.3091422108 235961.8618272842 0, 675822.3092443257 235999.8618862976 0, 675730.3100293125 236149.8622216573 0, 675700.3103333001 236189.8623440473 0, 675535.3120844098 236424.8618124121 0, 675535.3119903952 236466.8611738374 0, 675482.3116434921 236879.8551022938 0, 675457.3117180876 236949.8541208409 0, 675457.3116046973 236991.8534751269 0, 675445.3115886321 237039.8527778562 0, 675430.3117156166 237044.8527513189 0, 675205.3136801601 237076.8529936224 0, 675220.3139592708 236981.8544639557 0, 675215.3141056062 236959.8548337528 0, 675195.3145013207 236916.8555959786 0, 675175.3146451265 236929.8554601274 0, 675102.315605363 236946.8554932573 0, 675062.316091714 236964.8553712906 0, 675012.3165937044 237009.8548554239 0, 674980.3168295915 237056.8542311781 0, 674937.3175020331 237044.8546056313 0, 674922.3178110307 237024.8549916925 0, 674940.3180860362 236911.8567409385 0, 674920.3184188508 236901.8569867695 0, 674865.3194016559 236859.8578972986 0, 674795.3205879229 236819.8588393361 0, 674692.321396796 236961.8569776154 0, 674685.3211574598 237034.8558262773 0, 674582.3217074611 237234.8530220184 0, 674517.3222089254 237316.8519992522 0, 674540.3219408246 237339.8515305735 0, 674555.3216505552 237366.8510438001 0, 674570.3213188744 237409.8503062867 0, 674587.3210468427 237426.8499719584 0, 674492.3212754059 237666.8466258674 0, 674462.3215157996 237664.8468270274 0, 674392.3214505566 237846.8444214199 0, 674350.3214463575 237941.8432313727 0, 674290.322023584 237904.8441809927 0, 674265.3219251848 237986.8431093497 0, 674222.3219084651 238081.8419804505 0, 674197.3219382395 238124.8415167326 0, 674177.3218987985 238181.8407841845 0, 674172.3219390875 238224.8399244065 0, 674177.3219071378 238266.8390064897 0, 674192.3218091347 238351.8370821033 0, 674197.3217826542 238426.8354402623 0, 674192.321822476 238466.8346454855 0, 674140.3221876525 238489.8347578257 0, 674142.3221684393 238414.8362726366 0, 674127.3222735958 238406.8365924968 0, 674090.3225343968 238409.8369181837 0, 674070.3226752476 238399.8373221621 0, 674052.3228027216 238364.8381808902 0, 673997.3231947174 238329.8393681742 0, 673825.3243831862 238519.8380383911 0))",9’341,5’278,4’022,4’055,1’256
1,52,Bassersdorf,,ZH,10,2011,"POLYGON Z ((687842.2555690691 254926.7792293583 0, 687915.2552714839 255089.777740684 0, 687995.254518714 255264.775548258 0, 688043.2539942634 255364.7741138542 0, 688096.25334255 255479.7722477226 0, 688140.2526761477 255604.7698853714 0, 688110.2529676164 255624.7692266845 0, 688085.2532060905 255638.7687472196 0, 688055.2535041971 255650.768287425 0, 688032.2537408068 255655.7680293276 0, 688070.2531633186 255775.7657402701 0, 688096.2528833941 255767.7660371506 0, 688102.2527846501 255786.765653582 0, 688098.2528152377 255795.7654401138 0, 688104.2527051822 255820.7649222533 0, 688114.2525310363 255854.7642162124 0, 688123.2524113194 255862.7640708793 0, 688137.2522221633 255864.7640784536 0, 688143.252083321 255885.7636355328 0, 688065.2530262239 255908.7629008445 0, 688060.2530791865 255913.7627821701 0, 688057.253106836 255919.7626481229 0, 688103.2532613321 256086.763783747 0, 688120.2534609374 256145.7648758959 0, 688123.2535284103 256160.7651519041 0, 688125.2536012128 256174.7654089453 0, 688124.2537863234 256199.7658663085 0, 688121.2543550453 256276.7672756712 0, 688114.2545136001 256287.767477515 0, 688108.2546186985 256292.7675696629 0, 688046.2557393017 256350.7686516478 0, 688044.2557895402 256354.7687264984 0, 688049.2557787985 256361.7688548352 0, 688066.2556360419 256369.7689972126 0, 688177.2543485246 256405.7698094501 0, 688193.2541286573 256411.7699728072 0, 688205.2539953757 256420.7701783742 0, 688211.253967329 256430.7703826464 0, 688213.2540186774 256442.7706105641 0, 688214.2541073892 256457.7708904983 0, 688217.2541075934 256464.7710296729 0, 688222.2540613187 256469.7711387453 0, 688317.2529385355 256528.7725534983 0, 688319.2530923644 256554.7730428245 0, 688324.2530475145 256559.7731529321 0, 688349.252716276 256569.7734254536 0, 688351.2527921903 256584.7737112834 0, 688383.2530902518 256696.7759094142 0, 688403.2528153937 256702.7760935519 0, 688422.2525933956 256713.7763676847 0, 688437.2527587473 256768.777450089 0, 688439.2528593799 256786.7777939508 0, 688441.2531513275 256830.7786240358 0, 688443.2531934348 256840.778818548 0, 688464.2531367529 256877.7795903914 0, 688489.2530133984 256913.7803201594 0, 688490.2530428774 256919.7804139916 0, 688491.2533881702 256967.7811373636 0, 688499.2533102353 256973.7812567113 0, 688527.2527800773 256960.7811662799 0, 688550.2522088493 256932.7808370236 0, 688567.2518514181 256920.7807245097 0, 688608.2509870995 256891.780402222 0, 688637.2503802659 256871.7801345824 0, 688647.2501315023 256859.7799454213 0, 688651.2500917088 256862.7800173128 0, 688654.2501290262 256873.7802368863 0, 688802.2488542643 256976.7826396945 0, 688816.2486411683 256971.7826761263 0, 688781.2499618186 257077.7839001127 0, 688785.2499968394 257087.7840677687 0, 688794.2499534216 257095.7842408062 0, 688809.2498108064 257100.7844117209 0, 688807.2498858521 257106.7844814161 0, 688894.2494231192 257179.7860363857 0, 688950.2489462248 257205.7867230479 0, 688963.248685766 257193.7866482047 0, 688977.2484379974 257184.7866198982 0, 689005.2479760464 257170.7866185207 0, 689040.2473788518 257150.7865931459 0, 689098.2472688163 257224.7878550227 0, 689113.2470419788 257219.7878857139 0, 689133.2467859535 257218.7879947741 0, 689168.2463441003 257217.7881950635 0, 689178.2462039363 257215.7882327644 0, 689192.245989899 257210.7882609986 0, 689221.2455092783 257195.7882705187 0, 689248.2450701861 257182.7882951446 0, 689278.2445542759 257164.7882894267 0, 689285.2444114682 257157.7882589137 0, 689291.2442569302 257147.7881902764 0, 689294.2440509651 257126.7879845694 0, 689294.2438739534 257104.7877484421 0, 689292.243745652 257085.7875305622 0, 689289.2436698175 257071.7873589474 0, 689282.2436671705 257060.7871907688 0, 689275.2436805312 257051.7870433259 0, 689318.2428800268 257017.7869906594 0, 689416.2421867413 257015.7878213985 0, 689510.2424219765 257059.7891898036 0, 689527.2421934649 257023.7890365925 0, 689554.2417791961 256950.7886762522 0, 689562.2416759996 256930.7885899358 0, 689563.2415780596 256915.7884245795 0, 689548.2409854706 256861.787056463 0, 689564.2408989484 256851.7870092307 0, 689581.2409100868 256850.7871736297 0, 689603.2410221545 256858.787593397 0, 689625.241184885 256871.7881243569 0, 689654.2414049598 256889.7888431549 0, 689781.2401197412 256743.78699406 0, 690000.2383246511 256501.7840537995 0, 690047.2387273388 256531.785121323 0, 690110.2382866687 256454.7840184204 0, 690192.2377733714 256345.7825652302 0, 690232.2381599899 256374.7835439737 0, 690257.237993465 256334.7830156997 0, 690282.2382756757 256359.7837524959 0, 690290.2384227198 256376.7841566041 0, 690292.238731878 256422.785050159 0, 690317.2389807156 256446.7857339833 0, 690375.2391837537 256444.7862281489 0, 690390.2391261955 256424.7860077092 0, 690387.2389147385 256389.7853513496 0, 690362.2385544658 256346.7843227348 0, 690287.2375516698 256246.7816465879 0, 690437.2375674577 256096.7807273655 0, 690480.2374990518 256024.7800607485 0, 690527.2378111277 255981.7808815099 0, 690572.2382401488 255931.7824291431 0, 690615.2387265831 255836.7847423433 0, 690622.238832939 255804.7854120948 0, 690562.2384373581 255771.7851493298 0, 690597.2387627766 255734.7863058958 0, 690585.2387662124 255679.7871195537 0, 690717.2396946555 255691.7887556294 0, 690727.239785706 255674.7891868236 0, 690710.2396899357 255659.7892104878 0, 690672.2394372773 255656.7887412227 0, 690672.2394684464 255636.7890930653 0, 690737.2399820938 255571.7910834109 0, 690775.2402545947 255541.7920809207 0, 690812.240516022 255504.7931626521 0, 690847.2407676547 255446.7945383636 0, 690867.2409114506 255399.7955325121 0, 690905.2411478062 255336.7969655796 0, 690945.2413644461 255296.7980257916 0, 691002.2416463115 255294.7986665505 0, 691017.2417179791 255266.7992434306 0, 691082.2420152295 255231.8004252707 0, 691127.2421889291 255176.8016522268 0, 691217.2421592857 255039.8041182693 0, 691285.2415799182 254921.8057014914 0, 691312.2409721455 254841.8064817336 0, 691365.2406636467 254821.8068009719 0, 691430.2404387272 254819.8070001326 0, 691575.2396106228 254766.8078613024 0, 691635.2392150934 254736.8082877453 0, 691682.2387819972 254694.8087813191 0, 691735.2382438693 254639.8094044258 0, 691807.237660279 254586.8100652348 0, 691867.2373031079 254561.8104514713 0, 691925.2370372978 254549.8107214776 0, 691967.2367384024 254534.8110104999 0, 692012.2367237762 254566.8109129887 0, 692045.23638011 254536.8112901349 0, 692097.2357228316 254466.812059522 0, 692120.2353322393 254416.8125482688 0, 692157.2349684512 254379.8129736251 0, 692165.2346399651 254326.813424787 0, 692147.2344989617 254289.8136645036 0, 692057.2348716352 254296.8133234873 0, 692052.234969275 254309.8131996958 0, 691890.235568456 254311.8126750259 0, 691877.2354092267 254281.8128963843 0, 691882.2352607342 254261.8130834438 0, 691910.2351410439 254256.8132076723 0, 691880.23448114 254144.8138559797 0, 691885.2342381506 254111.8139022098 0, 691910.2335609802 254024.8140458395 0, 691950.2332740753 253999.8141811151 0, 691940.233107086 253971.8141690285 0, 691925.2329764154 253946.8141475757 0, 691865.2317685167 253744.8142494468 0, 691845.2315203382 253699.8142767583 0, 691827.2315211587 253691.8142663609 0, 691847.2309279907 253614.8143791861 0, 691875.2299439335 253484.8145444188 0, 691895.229653653 253451.8145858944 0, 691950.229144759 253399.8146981725 0, 691997.2289879739 253379.8150278231 0, 692047.2289357362 253374.8153680114 0, 692127.2288878539 253371.8159098364 0, 692152.2289598975 253384.8160546453 0, 692117.2280301003 253226.8161575428 0, 692277.227866863 253169.8177266932 0, 692245.2276910868 253124.8177294369 0, 692222.2275111881 253079.8177866291 0, 692165.2271148483 252989.8177375296 0, 692130.2269745425 252964.8175170319 0, 692102.2267617197 252921.8174334328 0, 692065.2266034437 252896.8171568134 0, 692047.2265027197 252879.8170357707 0, 692025.2264469375 252874.8168202781 0, 691980.2264798606 252896.8162637176 0, 691892.2266801773 252924.8157224013 0, 691862.2267243132 252921.8156631155 0, 691882.2271930228 253024.815426182 0, 691822.2273944084 253036.8153148048 0, 691770.2274914365 253031.8152568233 0, 691737.2274769957 253014.8152397275 0, 691710.2274119421 252991.8152311445 0, 691697.2271894823 252946.8152646451 0, 691590.2275488123 252969.815043812 0, 691595.2276866784 252994.8150431849 0, 691535.227926598 253011.8149503262 0, 691540.2279948039 253024.8149582614 0, 691495.2284599741 253081.8149228842 0, 691440.2288607945 253121.814911213 0, 691385.2292106403 253151.8149230689 0, 691320.2297742679 253206.8150083331 0, 691185.2309443157 253314.8148605534 0, 691165.2311925609 253341.8147665403 0, 690987.2320174986 253379.8146152197 0, 690995.232162877 253404.8145116412 0, 690958.2323348966 253412.8144705793 0, 690867.2327259172 253427.8143818784 0, 690872.2328670128 253450.814277614 0, 690859.2329150459 253451.8142684254 0, 690845.2332664335 253496.8140527938 0, 690831.2333039554 253495.8140503521 0, 690803.2334335644 253501.8140071089 0, 690795.2334452614 253499.8140125442 0, 690663.2341811981 253551.8136338248 0, 690586.2343378423 253561.8133838746 0, 690532.2344058127 253562.8132388376 0, 690427.2345188861 253561.8129737256 0, 690395.2346949921 253588.8126839631 0, 690387.2346460606 253577.8127460691 0, 690367.234560897 253556.8128567011 0, 690360.2345838563 253559.8128148404 0, 690353.2346214131 253565.8127485878 0, 690341.2346832679 253575.8126356643 0, 690338.2347058109 253579.8125949152 0, 690336.2347272356 253583.8125567803 0, 690336.2347466536 253587.8125241977 0, 690337.2347651388 253591.8124944974 0, 690338.2347739378 253593.8124811225 0, 690332.2347843129 253594.8124555688 0, 690356.2350807659 253658.8120155074 0, 690263.2350291652 253635.8118953236 0, 690227.2350192531 253627.8118498405 0, 690229.235034815 253631.8118200795 0, 690230.2350766468 253641.8117329778 0, 690237.2358002247 253810.8102433883 0, 690196.2358472128 253825.8099084435 0, 690095.2355674562 253758.810091091 0, 690021.2356440701 253740.8099847587 0, 690000.2358334305 253769.8096051881 0, 689991.2359097039 253780.8094572915 0, 689989.2362275983 253880.8083891407 0, 689982.2364319484 253936.807769561 0, 689978.2365175604 253958.8075213883 0, 689975.2365893134 253977.8073085942 0, 689963.2366731197 253987.8071581242 0, 689954.2367251096 253991.8070823551 0, 689905.674451855 253995.9162590753 0, 689868.362110747 253993.994141699 0, 689857.2371446637 253988.8067562951 0, 689843.237180372 253979.8068014176 0, 689833.2372044201 253972.806839955 0, 689804.2372646064 253948.8069924867 0, 689752.2373798364 253906.8072583228 0, 689692.2378540547 253981.8062230843 0, 689715.2378017078 253999.8061119475 0, 689757.2377147839 254034.8058880738 0, 689749.2379140172 254093.8052179007 0, 689731.2380933388 254130.8047473055 0, 689638.2384945817 254133.8043570046 0, 689629.2384849638 254180.8035688817 0, 689629.2384425785 254206.8031298182 0, 689635.238403604 254215.8030022806 0, 689625.2384326775 254222.8028433001 0, 689630.2383961906 254232.8026948885 0, 689634.2383589882 254245.8024919154 0, 689638.2383090014 254266.8021541703 0, 689639.2382743508 254285.8018378814 0, 689636.2382247928 254323.8011842675 0, 689636.2382102495 254332.8010324526 0, 689637.2382015075 254335.8009861287 0, 689635.2381898968 254347.8007751426 0, 689631.2381454358 254384.8001335731 0, 689630.2381281892 254397.7999098337 0, 689627.2381136338 254413.7996266024 0, 689623.2381043638 254428.7993556715 0, 689619.2380965783 254442.7991014198 0, 689605.2381524413 254440.799072756 0, 689604.2382190563 254402.799711188 0, 689432.2389144844 254380.7993331142 0, 689369.2395126319 254360.7995249634 0, 689357.2396403139 254364.7994389109 0, 689338.2398232092 254382.7991079598 0, 689318.2400169862 254402.7987469493 0, 689299.2402009222 254423.7983757938 0, 689288.2403060641 254437.7981329561 0, 689265.2405216492 254472.797538179 0, 689256.2406115398 254483.797352202 0, 689234.2408489706 254499.7970788521 0, 689139.2420537779 254411.7983887324 0, 689100.2424797945 254439.7979176332 0, 689064.2429275665 254390.7986182791 0, 689057.2430043956 254395.7985346833 0, 689003.2436476612 254323.7995180183 0, 688959.2441450295 254283.8000144085 0, 688915.244627879 254328.7992991366 0, 688905.2447397776 254336.7991712506 0, 688897.2448297403 254342.7990752626 0, 688825.2456451714 254362.7986959442 0, 688778.2461696476 254366.79853991 0, 688778.2461724351 254371.7984747077 0, 688748.2464621363 254376.7981532357 0, 688712.2468123022 254384.7977388057 0, 688674.2471824101 254391.7973178442 0, 688656.2473579546 254394.7971218105 0, 688636.247552133 254396.796921616 0, 688627.2476387473 254396.7968437432 0, 688617.2477330716 254394.7967847625 0, 688598.2479118294 254390.7966759202 0, 688574.2481350364 254383.7965665854 0, 688562.2482501856 254383.7964633609 0, 688552.2483472757 254384.7963632632 0, 688531.2485500574 254385.7961682975 0, 688498.2488707931 254388.7958409518 0, 688432.249506867 254389.7952561982 0, 688437.2494375606 254374.7955184184 0, 688422.2495769537 254371.7954337403 0, 688382.2499988556 254396.7947197188 0, 688237.2516612575 254534.7913194112 0, 688190.2522363701 254586.7900637471 0, 688130.2529535407 254666.7880780143 0, 688090.2533323779 254709.786738579 0, 688025.2539691669 254789.7844040553 0, 687895.2550947403 254881.7808106416 0, 687842.2555690691 254926.7792293583 0))",9’595,5’518,5’024,2’480,494
